product_id,sku,product_name,brand,subcategory,zone_id,aisle_id,shelf_number,shelf_position,store_id,unit,price_npr,x_coord,y_coord,zone_name,ambient_temp_c,is_perimeter,units_sold,sales_revenue_npr,transaction_count,unique_customers,avg_unit_price_sold_npr,avg_scan_duration_ms,total_rescans,failed_scan_count,festival_units_sold,scan_to_pay_units,first_sold_at,last_sold_at,revenue_per_transaction_npr,units_per_transaction,festival_unit_share,scan_to_pay_unit_share,scan_failure_rate,rescan_per_transaction
P000001,SKU-17137543,Beaten Rice (Chiura) 1kg,Local,Staples,Z07,A0008,6,1,S01,pack,142,16.1,25.1,Dry Staples (Rice/Dal/Atta),22,False,1016,144272,744,708,142.0,1332.6317204301076,46,7,124,601,2024-01-04 19:17:17,2026-03-30 14:50:34,193.91397849462365,1.3655913978494623,0.1220472440944882,0.5915354330708661,0.009408602150537635,0.06182795698924731
P000002,SKU-66914255,Mountain Dew 2L,Pepsico,Beverages,Z11,A0017,5,1,S01,bottle,200,54.3,10.7,Beverages,22,False,1804,360800,1350,1256,200.0,1334.0666666666666,100,12,207,1112,2024-01-01 13:05:42,2026-03-31 14:06:53,267.25925925925924,1.3362962962962963,0.1147450110864745,0.6164079822616408,0.008888888888888889,0.07407407407407407
P000003,SKU-10591489,Frozen Momo (Buff) 30pc,Hangrila,Frozen,Z05,A0006,1,1,S01,pack,322,11.3,13.2,Frozen Foods,-18,True,416,133952,305,297,322.0,1324.6590163934427,11,3,67,232,2024-01-04 18:37:46,2026-03-30 14:50:34,439.18688524590164,1.3639344262295081,0.16105769230769232,0.5576923076923077,0.009836065573770493,0.036065573770491806
P000004,SKU-77761112,Apple (Imported) per kg,Imported,Fruits,Z02,A0003,6,2,S01,kg,387,53.2,37.9,Fresh Produce,16,True,490,189630,339,328,387.0,1310.1061946902655,24,4,63,279,2024-01-02 17:33:09,2026-03-28 21:13:42,559.3805309734513,1.4454277286135693,0.12857142857142856,0.5693877551020409,0.011799410029498525,0.07079646017699115
P000005,SKU-77529279,Grapes per kg,Imported,Fruits,Z02,A0002,6,3,S01,kg,343,63.6,11.5,Fresh Produce,16,True,459,157437,344,335,343.0,1309.4331395348838,18,0,40,235,2024-01-02 17:50:07,2026-03-30 18:41:59,457.6656976744186,1.3343023255813953,0.08714596949891068,0.5119825708061002,0.0,0.05232558139534884
P000006,SKU-18852854,Good Day Cookies,Britannia,Snacks,Z10,A0015,5,2,S01,pack,50,21.3,57.3,Snacks & Confectionery,22,False,1031,51550,762,729,50.0,1300.9685039370079,29,7,123,595,2024-01-01 13:05:42,2026-03-31 14:06:53,67.6509186351706,1.353018372703412,0.11930164888457807,0.577109602327837,0.009186351706036745,0.03805774278215223
P000007,SKU-26065394,Parachute Coconut Oil 500ml,Parachute,Personal,Z13,A0019,4,1,S01,bottle,441,66.2,43.5,Personal Care,22,False,1148,506268,807,776,441.0,1297.7707558859975,54,5,143,627,2024-01-02 14:07:14,2026-03-29 19:09:22,627.3457249070632,1.422552664188352,0.12456445993031359,0.5461672473867596,0.006195786864931847,0.06691449814126393
P000008,SKU-57767466,Turmeric Powder 200g,Catch,Spices,Z09,A0012,5,1,S01,pack,83,82.3,31.1,Spices & Condiments,22,False,1789,148487,1313,1201,83.0,1354.2642802741814,67,12,207,1033,2024-01-02 11:33:53,2026-03-31 20:26:55,113.08987052551409,1.3625285605483626,0.11570709893795417,0.5774175517048631,0.00913937547600914,0.051028179741051026
P000009,SKU-30270938,Aluminium Foil 9m,Freshwrapp,Household,Z14,A0022,1,1,S01,roll,271,76.5,67.9,Household & Cleaning,22,False,1048,284008,791,746,271.0,1306.3122629582806,39,14,102,625,2024-01-05 13:15:21,2026-03-30 14:50:34,359.04930467762324,1.324905183312263,0.09732824427480916,0.5963740458015268,0.017699115044247787,0.0493046776232617
P000010,SKU-57939539,Sugar 1kg,Sona,Staples,Z07,A0008,4,1,S01,pack,119,16.1,25.1,Dry Staples (Rice/Dal/Atta),22,False,1841,219079,1345,1231,119.0,1356.4066914498142,68,12,215,1084,2024-01-01 19:01:04,2026-03-31 19:53:42,162.8840148698885,1.3687732342007435,0.11678435632808257,0.5888104291146117,0.008921933085501859,0.05055762081784387
P000011,SKU-40983056,Coriander Powder 200g,Catch,Spices,Z09,A0012,4,1,S01,pack,87,82.3,31.1,Spices & Condiments,22,False,1851,161037,1331,1228,87.0,1335.480841472577,65,11,241,1096,2024-01-01 19:01:04,2026-03-31 20:26:55,120.98948159278739,1.3906836964688205,0.13019989195029713,0.5921123716909779,0.008264462809917356,0.048835462058602556
P000012,SKU-68192244,Bottle Gourd (Lauka) per pc,Local,Vegetables,Z02,A0002,2,1,S01,pc,66,63.6,11.5,Fresh Produce,16,True,1053,69498,760,715,66.0,1310.9789473684211,39,7,143,626,2024-01-01 13:05:42,2026-03-29 20:53:28,91.44473684210526,1.3855263157894737,0.13580246913580246,0.5944919278252612,0.009210526315789473,0.05131578947368421
P000013,SKU-87774998,Nepal Tea Premium 500g,Nepal Tea,Tea/Coffee,Z12,A0018,2,2,S01,pack,526,10.4,23.5,Tea / Coffee / Health Drinks,22,False,1531,805306,1136,1053,526.0,1328.0220070422536,54,13,182,916,2024-01-01 19:01:04,2026-03-31 19:53:42,708.8961267605633,1.3477112676056338,0.11887655127367734,0.5983017635532332,0.011443661971830986,0.04753521126760563
P000014,SKU-01148087,Whole Chicken 1.2kg,Valley Cold Store,Meat,Z06,A0007,3,2,S01,pc,525,43.2,79.4,Meat & Seafood,4,True,1694,889350,1195,1101,525.0,1335.1941422594143,67,6,217,1007,2024-01-02 11:33:53,2026-03-31 20:26:55,744.2259414225941,1.4175732217573223,0.128099173553719,0.5944510035419126,0.00502092050209205,0.05606694560669456
P000015,SKU-02813614,Frozen Momo (Veg) 30pc,Hangrila,Frozen,Z05,A0006,6,2,S01,pack,288,11.3,13.2,Frozen Foods,-18,True,460,132480,338,331,288.0,1350.1153846153845,17,4,62,292,2024-01-06 11:35:57,2026-03-28 22:08:50,391.9526627218935,1.3609467455621302,0.13478260869565217,0.6347826086956522,0.011834319526627219,0.05029585798816568
P000016,SKU-11814860,Sunflower Oil 5L,Fortune,Oils,Z08,A0011,1,1,S01,bottle,1361,92.9,9.2,Cooking Oils & Ghee,22,False,397,540317,305,299,1361.0,1334.4852459016392,21,1,51,251,2024-01-05 13:50:50,2026-03-29 09:27:31,1771.5311475409835,1.301639344262295,0.12846347607052896,0.6322418136020151,0.003278688524590164,0.06885245901639345
P000017,SKU-43200770,Bisleri Water 1L,Bisleri,Beverages,Z11,A0016,4,2,S01,bottle,30,62.5,38.5,Beverages,22,False,1060,31800,778,752,30.0,1332.6233933161955,48,7,119,634,2024-01-02 19:06:08,2026-03-29 20:53:28,40.87403598971722,1.3624678663239074,0.11226415094339623,0.5981132075471698,0.008997429305912597,0.061696658097686374
P000018,SKU-69051351,Onion (Pyaj) per kg,Local,Vegetables,Z02,A0003,2,1,S01,kg,99,53.2,37.9,Fresh Produce,16,True,2823,279477,2068,1829,99.0,1302.970502901354,114,14,321,1664,2024-01-02 11:33:53,2026-03-31 20:26:55,135.14361702127658,1.3650870406189555,0.11370882040382571,0.5894438540559688,0.006769825918762089,0.0551257253384913
P000019,SKU-67847904,Mustard Oil 1L,Tulsi,Oils,Z08,A0011,6,2,S01,bottle,317,92.9,9.2,Cooking Oils & Ghee,22,False,1591,504347,1161,1062,317.0,1316.6640826873386,55,12,201,929,2024-01-02 11:33:53,2026-03-31 20:26:55,434.4074074074074,1.3703703703703705,0.12633563796354494,0.5839094908862351,0.0103359173126615,0.047372954349698536
P000020,SKU-93944025,Current Bites,CG Foods,Snacks,Z10,A0014,6,1,S01,pack,20,32.8,78.5,Snacks & Confectionery,22,False,1059,21180,785,746,20.0,1317.7961783439491,50,9,118,630,2024-01-01 13:05:42,2026-03-29 12:58:05,26.980891719745223,1.349044585987261,0.11142587346553352,0.5949008498583569,0.011464968152866241,0.06369426751592357
P000021,SKU-30654765,Chilli Sauce 200ml,Maggi,Sauces,Z09,A0012,4,2,S01,bottle,106,82.3,31.1,Spices & Condiments,22,False,730,77380,519,503,106.0,1309.0346820809248,26,4,91,431,2024-01-01 19:01:04,2026-03-30 18:41:59,149.09441233140655,1.4065510597302504,0.12465753424657534,0.5904109589041096,0.007707129094412331,0.05009633911368015
P000022,SKU-60566247,Whisper Sanitary Pads (Pack of 14),P&G,Personal,Z13,A0019,3,1,S01,pack,260,66.2,43.5,Personal Care,22,False,1152,299520,835,794,260.0,1338.3197604790419,44,9,141,647,2024-01-02 16:55:52,2026-03-31 12:51:40,358.7065868263473,1.3796407185628743,0.12239583333333333,0.5616319444444444,0.010778443113772455,0.05269461077844311
P000023,SKU-13811608,Tomato Ketchup 1kg,Heinz,Sauces,Z09,A0012,3,1,S01,bottle,332,82.3,31.1,Spices & Condiments,22,False,716,237712,525,517,332.0,1319.6666666666667,21,5,80,423,2024-01-02 17:33:09,2026-03-27 15:46:25,452.7847619047619,1.3638095238095238,0.11173184357541899,0.590782122905028,0.009523809523809525,0.04
P000024,SKU-93182568,Cerelac Wheat Apple Cherry,Nestle,Baby,Z15,A0023,2,2,S01,pack,404,27.0,56.7,Baby Care,22,False,1068,431472,769,726,404.0,1286.6241872561768,44,4,136,599,2024-01-01 13:05:42,2026-03-28 21:13:42,561.0819245773732,1.388816644993498,0.12734082397003746,0.5608614232209738,0.005201560468140442,0.05721716514954486
P000025,SKU-28141103,Garlic (Lasun) per kg,Local,Vegetables,Z02,A0003,6,3,S01,kg,273,53.2,37.9,Fresh Produce,16,True,2132,582036,1583,1421,273.0,1315.5489576753,76,19,223,1239,2024-01-01 19:01:04,2026-03-31 20:26:55,367.6790903348073,1.346809854706254,0.10459662288930581,0.5811444652908068,0.012002526847757423,0.04801010739102969
P000026,SKU-69425267,Bay Leaves 50g,Local,Spices,Z09,A0012,1,1,S01,pack,45,82.3,31.1,Spices & Condiments,22,False,661,29745,489,479,45.0,1393.7811860940694,24,6,106,431,2024-01-04 19:17:17,2026-03-30 14:50:34,60.828220858895705,1.3517382413087935,0.16036308623298035,0.6520423600605144,0.012269938650306749,0.049079754601226995
P000027,SKU-14238760,Sona Mansuli Rice 25kg,Local Mill,Staples,Z07,A0009,5,1,S01,bag,4141,61.5,90.3,Dry Staples (Rice/Dal/Atta),22,False,1047,4335627,782,743,4141.0,1295.012787723785,46,6,127,605,2024-01-02 11:22:21,2026-03-29 12:58:05,5544.280051150895,1.3388746803069054,0.12129894937917861,0.5778414517669532,0.0076726342710997444,0.058823529411764705
P000028,SKU-50864150,Lays Magic Masala 50g,Lays,Snacks,Z10,A0014,4,2,S01,pack,52,32.8,78.5,Snacks & Confectionery,22,False,1941,100932,1379,1266,52.0,1346.917331399565,61,18,192,1166,2024-01-01 13:05:42,2026-03-31 12:51:40,73.19216823785352,1.4075416968817984,0.09891808346213292,0.6007212776919114,0.01305293691080493,0.04423495286439449
P000029,SKU-70151283,Chicken Breast (Boneless) 1kg,Valley Cold Store,Meat,Z06,A0007,3,1,S01,kg,458,43.2,79.4,Meat & Seafood,4,True,1610,737380,1181,1091,458.0,1311.346316680779,68,8,192,952,2024-01-02 11:33:53,2026-03-31 20:26:55,624.3691786621507,1.363251481795089,0.11925465838509317,0.591304347826087,0.006773920406435224,0.057578323454699404
P000030,SKU-88286585,Hit Mosquito Spray,Godrej,Household,Z14,A0021,6,1,S01,can,269,45.8,32.0,Household & Cleaning,22,False,1080,290520,804,756,269.0,1324.4502487562188,44,6,129,634,2024-01-02 11:22:21,2026-03-30 18:41:59,361.34328358208955,1.3432835820895523,0.11944444444444445,0.587037037037037,0.007462686567164179,0.05472636815920398
P000031,SKU-59294656,Wai Wai Chicken (Pack of 30),Chaudhary Group,Snacks,Z10,A0015,2,1,S01,box,785,21.3,57.3,Snacks & Confectionery,22,False,1979,1553515,1437,1319,785.0,1303.7105080027836,70,12,217,1133,2024-01-02 11:33:53,2026-03-31 19:53:42,1081.0821155184412,1.3771746694502436,0.10965133906013137,0.572511369378474,0.008350730688935281,0.04871259568545581
P000032,SKU-23525044,Classmate Notebook 200pg,Classmate,Stationery,Z16,A0024,4,1,S01,pc,142,52.3,83.8,Stationery & Misc,22,False,437,62054,306,297,142.0,1338.3986928104575,19,4,48,264,2024-01-03 17:18:23,2026-03-28 21:13:42,202.79084967320262,1.4281045751633987,0.10983981693363844,0.6041189931350115,0.013071895424836602,0.06209150326797386
P000033,SKU-55477119,Apsara Pencils (10pk),Apsara,Stationery,Z16,A0024,3,2,S01,pack,88,52.3,83.8,Stationery & Misc,22,False,467,41096,329,319,88.0,1305.9452887537993,15,0,33,270,2024-01-05 13:57:22,2026-03-31 19:53:42,124.91185410334346,1.419452887537994,0.07066381156316917,0.5781584582441114,0.0,0.04559270516717325
P000034,SKU-70420949,Nescafe Gold 95g,Nescafe,Tea/Coffee,Z12,A0018,6,1,S01,jar,1026,10.4,23.5,Tea / Coffee / Health Drinks,22,False,643,659718,479,464,1026.0,1335.427974947808,27,4,82,385,2024-01-02 16:55:52,2026-03-31 14:02:05,1377.2818371607516,1.3423799582463465,0.12752721617418353,0.5987558320373251,0.008350730688935281,0.05636743215031315
P000035,SKU-86064035,Vanaspati Ghee 1kg,Dalda,Oils,Z08,A0011,5,1,S01,tin,374,92.9,9.2,Cooking Oils & Ghee,22,False,462,172788,329,321,374.0,1307.741641337386,16,4,48,297,2024-01-06 13:37:27,2026-03-29 17:45:14,525.1914893617021,1.4042553191489362,0.1038961038961039,0.6428571428571429,0.0121580547112462,0.0486322188449848
P000036,SKU-61513912,Dabur Amla Hair Oil 200ml,Dabur,Personal,Z13,A0019,1,1,S01,bottle,297,66.2,43.5,Personal Care,22,False,1166,346302,836,784,297.0,1331.0215311004786,33,5,134,693,2024-01-02 11:33:53,2026-03-29 20:53:28,414.2368421052632,1.394736842105263,0.11492281303602059,0.5943396226415094,0.005980861244019139,0.039473684210526314
P000037,SKU-11716634,Fish (Rohu) per kg,Local,Meat,Z06,A0007,4,2,S01,kg,389,43.2,79.4,Meat & Seafood,4,True,477,185553,331,326,389.0,1339.9365558912386,21,5,52,294,2024-01-02 16:55:52,2026-03-31 20:26:55,560.583081570997,1.4410876132930515,0.1090146750524109,0.6163522012578616,0.015105740181268883,0.0634441087613293
P000038,SKU-59178024,Salt 1kg (Iodized),Tata,Staples,Z07,A0008,2,1,S01,pack,57,16.1,25.1,Dry Staples (Rice/Dal/Atta),22,False,1073,61161,789,752,57.0,1329.3105196451204,38,5,111,672,2024-01-01 09:54:32,2026-03-29 17:45:14,77.51711026615969,1.3599493029150824,0.10344827586206896,0.6262814538676608,0.0063371356147021544,0.048162230671736375
P000039,SKU-64480660,Potato (Aalu) per kg,Local,Vegetables,Z02,A0002,4,1,S01,kg,78,63.6,11.5,Fresh Produce,16,True,2117,165126,1574,1439,78.0,1304.1213468869123,73,11,238,1259,2024-01-02 14:07:14,2026-03-31 20:26:55,104.90851334180432,1.3449809402795425,0.11242324043457723,0.5947094945677845,0.00698856416772554,0.04637865311308768
P000040,SKU-64748930,Whole Wheat Bread 500g,Hot Breads,Bakery,Z03,A0004,5,1,S01,pack,116,10.2,50.7,Bakery,22,True,1089,126324,803,750,116.0,1331.9925280199252,52,8,137,661,2024-01-01 13:05:42,2026-03-31 20:26:55,157.31506849315068,1.356164383561644,0.1258034894398531,0.6069788797061524,0.009962640099626401,0.0647571606475716
P000041,SKU-65562969,Amul Cheese Cubes 200g,Amul,Dairy,Z04,A0005,4,2,S01,pack,269,8.4,44.0,Dairy & Eggs,4,True,1128,303432,794,759,269.0,1314.647355163728,40,8,127,635,2024-01-02 11:33:53,2026-03-30 14:50:34,382.15617128463475,1.420654911838791,0.1125886524822695,0.5629432624113475,0.010075566750629723,0.05037783375314862
P000042,SKU-53666130,Center Fresh Gum,Perfetti,Confectionery,Z10,A0015,3,1,S01,pack,26,21.3,57.3,Snacks & Confectionery,22,False,422,10972,309,302,26.0,1283.6925566343043,13,1,54,233,2024-01-02 19:57:12,2026-03-30 14:50:34,35.50809061488673,1.3656957928802589,0.12796208530805686,0.5521327014218009,0.003236245954692557,0.042071197411003236
P000043,SKU-12392571,Pampers Premium Care Pants L,Pampers,Baby,Z15,A0023,6,2,S01,pack,1287,27.0,56.7,Baby Care,22,False,972,1250964,717,681,1287.0,1334.6820083682007,35,7,136,542,2024-01-01 13:05:42,2026-03-27 17:47:19,1744.7196652719665,1.3556485355648535,0.13991769547325103,0.5576131687242798,0.009762900976290097,0.04881450488145049
P000044,SKU-54118603,Pomegranate per kg,Imported,Fruits,Z02,A0003,2,2,S01,kg,419,53.2,37.9,Fresh Produce,16,True,443,185617,346,340,419.0,1302.5751445086705,13,2,43,260,2024-01-08 12:25:56,2026-03-29 09:27:31,536.4653179190751,1.2803468208092486,0.09706546275395034,0.5869074492099323,0.005780346820809248,0.03757225433526012
P000045,SKU-25225297,Head & Shoulders Shampoo 340ml,P&G,Personal,Z13,A0019,6,1,S01,bottle,467,66.2,43.5,Personal Care,22,False,1033,482411,773,734,467.0,1328.5316946959897,33,3,133,594,2024-01-02 11:33:53,2026-03-29 09:39:31,624.0763260025873,1.3363518758085382,0.1287512100677638,0.5750242013552759,0.0038809831824062097,0.042690815006468305
P000046,SKU-81901937,Huggies Diapers M (44pc),Huggies,Baby,Z15,A0023,6,1,S01,pack,943,27.0,56.7,Baby Care,22,False,472,445096,352,344,943.0,1338.0142045454545,17,3,82,272,2024-01-03 17:18:23,2026-03-29 20:53:28,1264.4772727272727,1.3409090909090908,0.17372881355932204,0.576271186440678,0.008522727272727272,0.048295454545454544
P000047,SKU-01146012,Carrot per kg,Local,Vegetables,Z02,A0002,5,2,S01,kg,121,63.6,11.5,Fresh Produce,16,True,1049,126929,789,749,121.0,1284.7122940430925,33,4,109,606,2024-01-02 11:33:53,2026-03-31 20:26:55,160.87325728770597,1.329531051964512,0.10390848427073403,0.5776930409914204,0.005069708491761723,0.04182509505703422
P000048,SKU-40732878,Pork Belly 500g,Local Butcher,Meat,Z06,A0007,4,1,S01,pack,441,43.2,79.4,Meat & Seafood,4,True,468,206388,336,328,441.0,1380.4434523809523,32,4,61,283,2024-01-02 11:33:53,2026-03-30 14:50:34,614.25,1.3928571428571428,0.13034188034188035,0.6047008547008547,0.011904761904761904,0.09523809523809523
