payment_event_id,transaction_id,attempt_number,payment_method,attempt_timestamp,latency_ms,status,amount_npr
PE000000001,T00000001,1,IME Pay,2025-10-09 08:38:57,2214,success,5921
PE000000002,T00000002,1,Khalti,2024-04-27 10:44:59,1064,success,78
PE000000003,T00000003,1,Khalti,2025-12-02 15:25:10,1681,success,11798
PE000000004,T00000004,1,FonePay,2024-08-07 17:54:24,870,success,3522
PE000000005,T00000005,1,IME Pay,2024-02-18 09:23:30,2565,success,11354
PE000000006,T00000006,1,eSewa,2025-02-10 22:35:13,1446,success,2365
PE000000007,T00000007,1,eSewa,2024-12-15 10:56:42,1459,success,838
PE000000008,T00000008,1,eSewa,2025-08-28 16:28:02,1096,success,4422
PE000000009,T00000009,1,Khalti,2025-12-11 18:43:06,864,success,7030
PE000000010,T00000010,1,Card,2026-03-27 11:54:06,2016,success,872
PE000000011,T00000011,1,FonePay,2025-12-20 20:05:52,1318,success,8969
PE000000012,T00000012,1,Khalti,2026-01-20 11:28:19,2079,success,2761
PE000000013,T00000013,1,eSewa,2024-01-06 11:07:56,1148,success,2978
PE000000014,T00000014,1,Card,2024-08-09 11:17:26,1436,retry,3313
PE000000015,T00000014,2,Card,2024-08-09 11:17:32,1409,success,3313
PE000000016,T00000015,1,eSewa,2024-10-02 12:50:33,2438,retry,2417
PE000000017,T00000015,2,eSewa,2024-10-02 12:50:39,2054,success,2417
PE000000018,T00000016,1,Khalti,2024-04-08 14:11:56,643,success,3581
PE000000019,T00000017,1,eSewa,2025-10-08 19:52:39,1370,success,10413
PE000000020,T00000018,1,Khalti,2025-07-06 16:59:17,1977,success,1605
PE000000021,T00000019,1,FonePay,2024-03-10 20:47:08,1821,success,501
PE000000022,T00000020,1,eSewa,2026-03-19 19:00:39,2421,success,11350
PE000000023,T00000021,1,eSewa,2025-06-27 17:10:08,1422,success,3234
PE000000024,T00000022,1,Khalti,2024-10-09 19:10:05,1451,success,2936
PE000000025,T00000023,1,Cash,2024-11-29 15:52:49,790,success,13767
PE000000026,T00000024,1,Cash,2024-07-22 13:26:08,1724,success,1354
PE000000027,T00000025,1,Card,2025-07-18 19:04:02,1651,success,2013
PE000000028,T00000026,1,Khalti,2025-04-20 18:05:46,493,success,1573
PE000000029,T00000027,1,FonePay,2025-03-08 14:43:25,1197,success,5136
PE000000030,T00000028,1,eSewa,2026-01-16 18:53:50,1800,success,6899
PE000000031,T00000029,1,Cash,2025-04-29 10:19:23,1444,success,276
PE000000032,T00000030,1,Cash,2025-06-07 18:45:35,2374,success,6774
PE000000033,T00000031,1,IME Pay,2025-01-04 14:11:02,1407,success,895
