customer_id,loyalty_tier,gender,age_bucket,home_area,registered_on,uses_app
C0000001,Standard,F,25-34,Suryabinayak,2024-07-26,False
C0000002,Silver,M,35-44,Kalanki,2024-01-31,False
C0000003,Standard,F,35-44,Chuchhepati,2024-11-12,False
C0000004,Silver,M,35-44,Kalanki,2023-10-04,False
C0000005,Platinum,F,25-34,Boudha,2023-12-10,True
C0000006,Standard,M,45-54,Kupondole,2022-09-04,True
C0000007,Standard,M,45-54,Tinkune,2022-07-06,False
C0000008,Standard,M,45-54,Kirtipur,2023-05-29,False
C0000009,Standard,F,18-24,Boudha,2023-03-31,False
C0000010,Standard,F,45-54,Naxal,2024-07-14,True
C0000011,Silver,F,45-54,Kalanki,2024-09-25,False
C0000012,Gold,F,35-44,Boudha,2023-05-08,True
C0000013,Standard,M,18-24,Kupondole,2022-08-03,True
C0000014,Standard,F,35-44,Sanepa,2024-11-22,True
C0000015,Standard,F,25-34,Budhanilkantha,2023-01-03,False
C0000016,Gold,M,45-54,Boudha,2023-05-25,True
C0000017,Standard,M,25-34,Naxal,2023-10-04,True
C0000018,Standard,F,55-64,Koteshwor,2024-01-16,False
C0000019,Gold,M,25-34,Maharajgunj,2023-08-29,False
C0000020,Standard,F,25-34,Naxal,2024-11-19,True
C0000021,Silver,M,25-34,Maharajgunj,2024-02-02,False
C0000022,Platinum,F,35-44,Sanepa,2023-04-06,True
C0000023,Standard,F,18-24,Pulchowk,2025-04-12,True
C0000024,Standard,F,35-44,Sanepa,2024-05-21,False
C0000025,Gold,M,45-54,Kupondole,2024-06-12,False
C0000026,Standard,M,35-44,Kalanki,2023-01-15,True
C0000027,Standard,F,35-44,Chuchhepati,2022-11-23,False
C0000028,Silver,F,25-34,Kalanki,2024-08-16,True
C0000029,Silver,F,45-54,Sanepa,2023-04-24,True
C0000030,Standard,Other,35-44,Kalanki,2022-01-21,False
C0000031,Standard,F,25-34,Boudha,2024-10-26,False
C0000032,Standard,F,35-44,Chuchhepati,2022-11-14,False
C0000033,Standard,M,35-44,Chuchhepati,2024-01-22,True
C0000034,Standard,M,45-54,Koteshwor,2023-11-09,True
C0000035,Standard,F,25-34,Tinkune,2023-07-04,True
C0000036,Gold,M,18-24,Sanepa,2025-03-03,True
C0000037,Silver,F,25-34,Budhanilkantha,2022-04-15,True
C0000038,Standard,Other,18-24,Budhanilkantha,2022-05-05,True
C0000039,Silver,M,25-34,Suryabinayak,2022-10-26,False
C0000040,Standard,F,35-44,Suryabinayak,2025-01-26,False
C0000041,Standard,F,45-54,Kupondole,2023-03-12,False
C0000042,Standard,F,25-34,Kirtipur,2024-05-25,True
C0000043,Silver,M,25-34,Chuchhepati,2022-04-12,True
C0000044,Standard,M,35-44,Kirtipur,2022-08-15,False
C0000045,Standard,F,45-54,Kupondole,2024-11-24,True
C0000046,Silver,F,35-44,Maharajgunj,2023-05-12,False
C0000047,Standard,M,35-44,Kalanki,2022-07-05,True
C0000048,Gold,F,18-24,Boudha,2025-04-04,False
C0000049,Standard,F,45-54,Budhanilkantha,2023-07-05,True
C0000050,Silver,F,18-24,Pulchowk,2022-01-08,False
C0000051,Standard,F,45-54,Budhanilkantha,2023-06-02,False
C0000052,Standard,M,18-24,Naxal,2022-11-29,True
C0000053,Silver,M,25-34,Kirtipur,2023-02-14,True
C0000054,Standard,M,18-24,Maharajgunj,2024-02-23,True
C0000055,Standard,F,25-34,Sanepa,2023-09-25,False
C0000056,Standard,M,35-44,Chuchhepati,2024-02-11,True
C0000057,Standard,M,18-24,Kupondole,2022-07-13,False
C0000058,Silver,M,18-24,Pulchowk,2024-02-29,False
C0000059,Standard,F,25-34,Koteshwor,2024-04-12,True
C0000060,Silver,F,25-34,Kalanki,2024-01-26,True
C0000061,Platinum,M,25-34,Koteshwor,2023-08-05,False
C0000062,Silver,F,45-54,Boudha,2024-06-29,True
C0000063,Standard,F,45-54,Tinkune,2022-05-06,True
C0000064,Standard,M,35-44,Naxal,2024-03-20,False
C0000065,Silver,M,25-34,Kalanki,2024-01-06,True
C0000066,Standard,F,25-34,Budhanilkantha,2023-02-03,False
C0000067,Platinum,F,35-44,Tinkune,2023-01-18,True
C0000068,Gold,F,35-44,Boudha,2023-05-13,False
C0000069,Gold,M,45-54,Pulchowk,2023-03-01,False
C0000070,Standard,F,25-34,Kalanki,2024-11-22,False
C0000071,Gold,F,35-44,Kirtipur,2023-08-01,True
C0000072,Standard,F,25-34,Budhanilkantha,2023-03-09,False
C0000073,Standard,M,55-64,Chuchhepati,2023-11-05,True
C0000074,Standard,M,18-24,Pulchowk,2024-09-21,True
C0000075,Silver,M,45-54,Kalanki,2023-12-19,True
C0000076,Standard,F,25-34,Koteshwor,2024-04-24,True
C0000077,Standard,F,35-44,Kupondole,2024-08-08,True
C0000078,Standard,F,65+,Kalanki,2024-08-11,False
C0000079,Standard,F,25-34,Tinkune,2023-12-28,False
C0000080,Standard,F,25-34,Budhanilkantha,2022-04-28,True
C0000081,Standard,F,35-44,Tinkune,2024-11-22,True
C0000082,Standard,F,25-34,Kalanki,2022-11-18,True
C0000083,Standard,F,35-44,Pulchowk,2022-02-05,True
C0000084,Silver,F,25-34,Koteshwor,2024-01-07,False
C0000085,Silver,F,45-54,Sanepa,2023-12-09,True
C0000086,Standard,F,35-44,Sanepa,2024-05-25,True
C0000087,Standard,M,25-34,Budhanilkantha,2022-10-11,False
C0000088,Silver,M,25-34,Kalanki,2025-02-21,True
C0000089,Gold,F,35-44,Kirtipur,2025-03-27,False
C0000090,Silver,F,18-24,Chuchhepati,2023-05-27,True
C0000091,Gold,F,25-34,Boudha,2024-03-07,True
C0000092,Gold,M,25-34,Kalanki,2024-12-15,True
C0000093,Standard,F,25-34,Boudha,2023-07-07,True
C0000094,Gold,F,25-34,Tinkune,2022-11-09,False
C0000095,Standard,M,25-34,Boudha,2024-09-21,True
C0000096,Standard,F,35-44,Tinkune,2023-03-16,False
C0000097,Silver,M,35-44,Tinkune,2022-08-09,False
C0000098,Silver,F,35-44,Chuchhepati,2022-08-07,True
C0000099,Standard,Other,45-54,Naxal,2025-03-08,True
C0000100,Silver,M,25-34,Pulchowk,2024-03-16,True
C0000101,Standard,F,35-44,Koteshwor,2023-08-26,False
C0000102,Standard,M,55-64,Suryabinayak,2024-08-02,True
C0000103,Gold,F,25-34,Maharajgunj,2022-06-14,False
C0000104,Standard,M,25-34,Sanepa,2022-03-04,False
C0000105,Silver,F,65+,Boudha,2023-02-22,False
C0000106,Silver,F,35-44,Koteshwor,2022-05-04,True
C0000107,Gold,F,25-34,Kirtipur,2024-08-01,False
