customer_id,segment_id,segment_name,loyalty_tier,uses_app,transaction_count,total_spend_npr,avg_order_value_npr,recency_days,scan_to_pay_rate,app_engagement_events,preferred_store_id,preferred_payment_method,favorite_subcategory
C0000001,1,Regular Digital Shoppers,Standard,False,1.0,8259.0,8259.0,355,0.0,0.0,S05,ConnectIPS,Snacks
C0000002,1,Regular Digital Shoppers,Silver,False,3.0,5461.0,1820.3333333333333,37,0.0,0.0,S06,Cash,Bakery
C0000003,1,Regular Digital Shoppers,Standard,False,1.0,2431.0,2431.0,813,0.0,0.0,S03,Cash,Household
C0000004,1,Regular Digital Shoppers,Silver,False,2.0,7383.0,3691.5,591,0.0,0.0,S04,Cash,Snacks
C0000005,2,High Value Loyal Customers,Platinum,True,3.0,39415.0,13138.333333333334,271,1.0,17.0,S01,IME Pay,Vegetables
C0000006,1,Regular Digital Shoppers,Standard,True,1.0,10604.0,10604.0,775,1.0,4.0,S03,eSewa,Snacks
C0000007,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,1364,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000008,1,Regular Digital Shoppers,Standard,False,1.0,4302.0,4302.0,280,0.0,0.0,S02,Cash,Dairy
C0000009,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,1096,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000010,1,Regular Digital Shoppers,Standard,True,2.0,15649.0,7824.5,157,1.0,16.0,S05,FonePay,Snacks
C0000011,1,Regular Digital Shoppers,Silver,False,3.0,8571.0,2857.0,37,0.0,0.0,S04,Cash,Baby
C0000012,1,Regular Digital Shoppers,Gold,True,1.0,652.0,652.0,345,1.0,1.0,S06,Khalti,Bakery
C0000013,0,Occasional Traditional Shoppers,Standard,True,0.0,0.0,0.0,1336,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000014,0,Occasional Traditional Shoppers,Standard,True,0.0,0.0,0.0,494,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000015,1,Regular Digital Shoppers,Standard,False,2.0,4756.0,2378.0,490,0.0,0.0,S08,eSewa,Staples
C0000016,1,Regular Digital Shoppers,Gold,True,2.0,13651.0,6825.5,233,1.0,13.0,S02,FonePay,Household
C0000017,0,Occasional Traditional Shoppers,Standard,True,0.0,0.0,0.0,909,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000018,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,805,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000019,1,Regular Digital Shoppers,Gold,False,4.0,25063.0,6265.75,36,0.0,0.0,S01,eSewa,Household
C0000020,0,Occasional Traditional Shoppers,Standard,True,0.0,0.0,0.0,497,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000021,2,High Value Loyal Customers,Silver,False,4.0,45087.0,11271.75,77,0.0,0.0,S01,Cash,Vegetables
C0000022,2,High Value Loyal Customers,Platinum,True,4.0,19548.0,4887.0,93,1.0,19.0,S06,Khalti,Snacks
C0000023,2,High Value Loyal Customers,Standard,True,4.0,15674.0,3918.5,135,1.0,26.0,S02,eSewa,Household
C0000024,1,Regular Digital Shoppers,Standard,False,1.0,13319.0,13319.0,72,0.0,0.0,S06,Cash,Household
C0000025,2,High Value Loyal Customers,Gold,False,3.0,29024.0,9674.666666666666,246,0.0,0.0,S02,Card,Snacks
C0000026,0,Occasional Traditional Shoppers,Standard,True,0.0,0.0,0.0,1171,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000027,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,1224,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000028,1,Regular Digital Shoppers,Silver,True,1.0,14908.0,14908.0,338,1.0,6.0,S03,Card,Snacks
C0000029,0,Occasional Traditional Shoppers,Silver,True,0.0,0.0,0.0,1072,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000030,2,High Value Loyal Customers,Standard,False,8.0,54012.0,6751.5,275,0.0,0.0,S02,Cash,Snacks
C0000031,1,Regular Digital Shoppers,Standard,False,1.0,483.0,483.0,263,0.0,0.0,S04,Cash,Household
C0000032,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,1233,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000033,2,High Value Loyal Customers,Standard,True,5.0,69931.0,13986.2,31,0.8,42.0,S03,eSewa,Vegetables
C0000034,1,Regular Digital Shoppers,Standard,True,1.0,653.0,653.0,660,1.0,3.0,S01,Khalti,Household
C0000035,0,Occasional Traditional Shoppers,Standard,True,0.0,0.0,0.0,1001,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000036,1,Regular Digital Shoppers,Gold,True,1.0,2804.0,2804.0,569,1.0,5.0,S06,eSewa,Fruits
C0000037,0,Occasional Traditional Shoppers,Silver,True,0.0,0.0,0.0,1446,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000038,0,Occasional Traditional Shoppers,Standard,True,0.0,0.0,0.0,1426,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000039,1,Regular Digital Shoppers,Silver,False,2.0,20039.0,10019.5,142,0.0,0.0,S04,eSewa,Vegetables
C0000040,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,429,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000041,1,Regular Digital Shoppers,Standard,False,3.0,10793.0,3597.6666666666665,600,0.0,0.0,S02,Card,Beverages
C0000042,2,High Value Loyal Customers,Standard,True,1.0,17314.0,17314.0,100,1.0,14.0,S08,Card,Vegetables
C0000043,0,Occasional Traditional Shoppers,Silver,True,0.0,0.0,0.0,1449,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000044,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,1324,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000045,1,Regular Digital Shoppers,Standard,True,2.0,14594.0,7297.0,4,1.0,7.0,S01,Khalti,Snacks
C0000046,1,Regular Digital Shoppers,Silver,False,2.0,3542.0,1771.0,409,0.0,0.0,S01,Cash,Vegetables
C0000047,2,High Value Loyal Customers,Standard,True,1.0,30350.0,30350.0,377,1.0,11.0,S05,eSewa,Vegetables
C0000048,1,Regular Digital Shoppers,Gold,False,4.0,17949.0,4487.25,59,0.0,0.0,S06,Khalti,Beverages
C0000049,0,Occasional Traditional Shoppers,Standard,True,0.0,0.0,0.0,1000,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000050,1,Regular Digital Shoppers,Silver,False,2.0,4492.0,2246.0,69,0.0,0.0,S02,Cash,Household
C0000051,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,1033,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000052,1,Regular Digital Shoppers,Standard,True,3.0,9622.0,3207.3333333333335,190,0.6666666666666666,10.0,S05,Card,Snacks
C0000053,2,High Value Loyal Customers,Silver,True,7.0,62073.0,8867.57142857143,135,0.8571428571428571,35.0,S01,Card,Household
C0000054,1,Regular Digital Shoppers,Standard,True,1.0,8712.0,8712.0,125,1.0,8.0,S01,Card,Dairy
C0000055,1,Regular Digital Shoppers,Standard,False,1.0,3250.0,3250.0,43,0.0,0.0,S05,Card,Snacks
C0000056,2,High Value Loyal Customers,Standard,True,4.0,42163.0,10540.75,65,1.0,29.0,S03,FonePay,Snacks
C0000057,0,Occasional Traditional Shoppers,Standard,False,0.0,0.0,0.0,1357,0.0,0.0,No Purchase,No Purchase,No Purchase
C0000058,1,Regular Digital Shoppers,Silver,False,2.0,13227.0,6613.5,146,0.0,0.0,S02,Cash,Beverages
C0000059,2,High Value Loyal Customers,Standard,True,4.0,28018.0,7004.5,17,1.0,28.0,S05,Card,Vegetables
C0000060,1,Regular Digital Shoppers,Silver,True,3.0,2746.0,915.3333333333334,93,1.0,4.0,S07,Khalti,Beverages
C0000061,2,High Value Loyal Customers,Platinum,False,8.0,49924.0,6240.5,83,0.0,0.0,S05,Cash,Snacks
